"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"3246","38","GO Biological Process","","Animal organ development","1.0E-4","PDE1B|LIF|SERPINF1|HERC6|PITX1|CSRNP1|FLT1|BMP3|ADAMTS1|KIT|CALM3|DRAXIN|RUNX1|OTP|JUNB|IRX1|FOS|IRX2|DDIT4|SOCS3|ZBTB16|POU3F3|SMOC1|ANKRD1|PBX3|ID1|IFNA14|IFNA21|TAGLN|TFAP2B|IL6|CEBPD|MME|TIPARP|EBF2|STRA6|GJC1|IFNA5","2046","2134|2218|2422|2282|2410|2370|2178|2382|2150|2222|2118|2186|2206|2138|2342|2354|2302|2366|2126|2246|2238|2394|2098|2338|2326|2398|2334|2294|2310|2274|2322|2142|2254|2082|2106|2414|2266|2314","3.26E-8","","GO:0048513","0.7060219481594705","0"
"5117","50","GO Biological Process","","Anatomical structure development","1.0E-4","DNPH1|PDE1B|TLE6|LIF|NCAN|SERPINF1|HERC6|PITX1|ST8SIA2|CSRNP1|FLT1|BMP3|ADAMTS1|KIT|CALM3|DRAXIN|RUNX1|OTP|JUNB|IRX1|FOS|IRX2|DDIT4|CBX2|SOCS3|ZBTB16|AUTS2|SCN8A|POU3F3|SMOC1|CSRP1|ANKRD1|PBX3|ID1|IFNA14|IFNA21|CALML5|TAGLN|TFAP2B|HSPA2|IL6|CEBPD|NECAB1|MME|TIPARP|EBF2|STRA6|GJC1|PCDHB16|IFNA5","2046","2198|2134|2194|2218|2262|2422|2282|2410|2306|2370|2178|2382|2150|2222|2118|2186|2206|2138|2342|2354|2302|2366|2126|2162|2246|2238|2174|2078|2394|2098|2418|2338|2326|2398|2334|2294|2086|2310|2274|2110|2322|2142|2214|2254|2082|2106|2414|2266|2226|2314","2.0E-8","","GO:0048856","0.7060219481594705","0"
"4209","44","GO Biological Process","","Multicellular organism development","1.1E-4","PDE1B|TLE6|LIF|NCAN|SERPINF1|HERC6|PITX1|ST8SIA2|CSRNP1|FLT1|BMP3|ADAMTS1|KIT|CALM3|DRAXIN|RUNX1|OTP|JUNB|IRX1|FOS|IRX2|DDIT4|CBX2|SOCS3|ZBTB16|AUTS2|SCN8A|POU3F3|SMOC1|ANKRD1|PBX3|ID1|IFNA14|IFNA21|TFAP2B|IL6|CEBPD|NECAB1|MME|TIPARP|STRA6|GJC1|PCDHB16|IFNA5","2046","2134|2194|2218|2262|2422|2282|2410|2306|2370|2178|2382|2150|2222|2118|2186|2206|2138|2342|2354|2302|2366|2126|2162|2246|2238|2174|2078|2394|2098|2338|2326|2398|2334|2294|2274|2322|2142|2214|2254|2082|2414|2266|2226|2314","4.07E-8","","GO:0007275","0.69871591210573","0"
"5","4","TISSUES","","Gizzard","1.4E-4","CALML6|CALML3|CALML5|CALML4","2046","2446|2102|2086|2426","5.9E-8","","BTO:0000520","0.6802295480519039","0"
"201","8","KEGG Pathways","","Rap1 signaling pathway","1.4E-4","FLT1|KIT|CALM3|CALML6|CALML3|ID1|CALML5|CALML4","2046","2178|2222|2118|2446|2102|2398|2086|2426","6.91E-6","","hsa04015","0.6802295480519039","0"
"95","6","KEGG Pathways","","Melanogenesis","1.6E-4","KIT|CALM3|CALML6|CALML3|CALML5|CALML4","2046","2222|2118|2446|2102|2086|2426","8.61E-6","","hsa04916","0.6699936512062171","0"
"127","8","UniProt Keywords","","Antiviral defense","1.7E-4","BST2|DDIT4|IFI6|IFIT1|IFNA14|IFNA21|IFNA5|IFITM2","2046","2278|2126|2406|2378|2334|2294|2314|2358","2.59E-7","","KW-0051","0.665346449053786","0"
"150","7","KEGG Pathways","","Cellular senescence","1.8E-4","GADD45B|CALM3|CALML6|CALML3|CALML5|IL6|CALML4","2046","2230|2118|2446|2102|2086|2322|2426","9.92E-6","","hsa04218","0.6609649503183244","0"
"101","6","KEGG Pathways","","C-type lectin receptor signaling pathway","2.0E-4","CALM3|CALML6|CALML3|CALML5|IL6|CALML4","2046","2118|2446|2102|2086|2322|2426","1.2E-5","","hsa04625","0.6528885021611902","0"
"3867","41","GO Biological Process","","System development","2.5E-4","PDE1B|LIF|NCAN|SERPINF1|HERC6|PITX1|ST8SIA2|CSRNP1|FLT1|BMP3|ADAMTS1|KIT|CALM3|DRAXIN|RUNX1|OTP|JUNB|IRX1|FOS|IRX2|DDIT4|SOCS3|ZBTB16|AUTS2|SCN8A|POU3F3|SMOC1|ANKRD1|PBX3|ID1|IFNA14|IFNA21|TFAP2B|IL6|CEBPD|MME|TIPARP|STRA6|GJC1|PCDHB16|IFNA5","2046","2134|2218|2262|2422|2282|2410|2306|2370|2178|2382|2150|2222|2118|2186|2206|2138|2342|2354|2302|2366|2126|2246|2238|2174|2078|2394|2098|2338|2326|2398|2334|2294|2274|2322|2142|2254|2082|2414|2266|2226|2314","1.13E-7","","GO:0048731","0.6357833531161633","0"
