gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000148143.13,ZNF462,1745.896405430522,-0.44619656497231419,0.082078584785024195,4.6283575607527507e-09,1.621406220682904e-06
ENSG00000076716.9,GPC4,845.06118929551326,1.2862418807936831,0.24157525872867269,4.7598828898987144e-09,1.6347864450875659e-06
ENSG00000131584.19,ACAP3,2732.9980210932481,0.87772097984406072,0.1644028924340647,4.9157648444803804e-09,1.655856481075353e-06
ENSG00000125618.18,PAX8,47.648947281757167,6.1589135869284526,1.1264302518429909,7.700395873033151e-09,2.5449081907933711e-06
ENSG00000173275.13,ZNF449,220.37574424914931,1.133158369467508,0.21685733227337081,8.3504644443068933e-09,2.708643244564436e-06
ENSG00000008710.20,PKD1,3613.7312344390039,0.8528822506173086,0.16295528381498969,8.7796718805277113e-09,2.796086048351334e-06
ENSG00000184967.7,NOC4L,301.04033830549781,0.74797852018697031,0.14276629160836851,9.163063446245224e-09,2.8660753450791309e-06
ENSG00000158106.14,RHPN1,569.90115298477588,1.1587798444088959,0.22391786824316889,1.0918118770123899e-08,3.3551187434647401e-06
ENSG00000171163.16,ZNF692,408.09471009864723,0.84254410642629995,0.1623871772258304,1.127345629044519e-08,3.3743258522520531e-06
ENSG00000171222.11,SCAND1,394.82337141295892,1.611322397921148,0.31249825990740437,1.136590690128289e-08,3.3743258522520531e-06
ENSG00000253230.11,MIR124-1HG,413.00627505068587,0.86936372149765562,0.16781824792926561,1.157086134325347e-08,3.3779201214737971e-06
ENSG00000215252.12,GOLGA8B,1160.7071968304281,1.221556649801218,0.23702546297423641,1.207390118411717e-08,3.4669910350983001e-06
ENSG00000205746.10,PKD1P4,107.2218002306204,2.3457115770634722,0.45761418334299242,1.307548889534362e-08,3.6940365079167549e-06
ENSG00000242419.6,PCDHGC4,829.10448666003481,-0.72383332923410071,0.14016123578336601,1.3398664843015411e-08,3.7252541807977462e-06
ENSG00000104885.19,DOT1L,959.69353141948318,0.71324795754682635,0.13802151275621319,1.3675565355496631e-08,3.742831293232485e-06
ENSG00000147647.13,DPYS,29.03641714039324,3.0688187988179898,0.59863636585733027,1.7360115153253851e-08,4.6781504157599154e-06
ENSG00000177508.12,IRX3,584.82524615862485,1.5872103421630459,0.31320595558169678,1.7896119891815018e-08,4.7495217579550289e-06
ENSG00000226686.10,LINC01535,50.428383764340872,3.8510774730777388,0.76027280227529048,1.870834941686657e-08,4.8909768415796242e-06
ENSG00000179832.18,MROH1,1222.89665882947,0.80566556249285393,0.1584464221700391,2.011289338284241e-08,5.1808447131451123e-06
ENSG00000245532.11,NEAT1,3102.0728806867319,1.059363366818558,0.21143047201307091,2.603042416410352e-08,6.6079552124411193e-06
ENSG00000183092.18,BEGAIN,910.62233825842361,0.92126567029956663,0.18439898264183749,2.9746820972693879e-08,7.4435045165386577e-06
ENSG00000092199.19,HNRNPC,7848.2371397316174,-0.35858721639278268,0.072229070554842095,3.6586520566283858e-08,9.0260492146342003e-06
ENSG00000125503.13,PPP1R12C,919.91292959272505,0.89078083189356871,0.18068356783771169,4.2057386471217268e-08,1.023162751985891e-05
ENSG00000213199.8,ASIC3,136.1989580376154,1.2633164543827069,0.25780452136556958,4.4569345878376853e-08,1.06942008548719e-05
ENSG00000290418.1,TPTEP1,27.535260274358251,8.6988723443049416,2.9048682640154229,4.9965263239739261e-08,1.182691285009828e-05
ENSG00000230453.11,ANKRD18B,40.671424285646808,2.4317294658567001,0.50228489461015091,6.3553968965806413e-08,1.4842817605400869e-05
ENSG00000205929.11,C21orf62,631.95670793623515,-0.58777817387666487,0.1202908688729582,6.493518325339129e-08,1.496585091929476e-05
