"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"989","16","GO Biological Process","","Defense response to other organism","5.94E-5","BST2|RTP4|HERC5|DDIT4|STAT2|TAC1|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFI27|IFNA5|IFITM2|ALPK1","6293","6405|6513|6529|6357|6325|6329|6565|6549|6457|6421|6469|6417|6481|6441|6493|6521","6.81E-8","","GO:0098542","0.4226213555018806","0"
"2121","23","GO Biological Process","","Immune system process","5.98E-5","LIF|BST2|HERC6|HERC5|FLT1|JUNB|FOS|STAT2|TAC1|NFKBIZ|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|CEBPD|TIPARP|ZFP36|IFI27|IFNA5|IFITM2|ALPK1","6293","6401|6405|6413|6529|6445|6365|6349|6325|6329|6425|6565|6549|6457|6421|6469|6417|6501|6449|6337|6481|6441|6493|6521","7.25E-8","","GO:0002376","0.42232988160115886","0"
"38","5","STRING Clusters","","Mixed, incl. Basic region leucin zipper, and Early growth response, N-terminal","7.02E-5","GADD45B|CSRNP1|JUNB|FOS|ZFP36","6293","6505|6377|6365|6349|6337","2.46E-7","","CL:18502","0.4153662887870195","0"
"754","14","GO Biological Process","","Innate immune response","7.96E-5","BST2|HERC5|STAT2|TAC1|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFI27|IFNA5|IFITM2|ALPK1","6293","6405|6529|6325|6329|6565|6549|6457|6421|6469|6417|6481|6441|6493|6521","1.02E-7","","GO:0045087","0.40990869322623313","0"
"62","5","KEGG Pathways","","Cytosolic DNA-sensing pathway","8.67E-5","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","2.32E-6","","hsa04623","0.406198090252379","0"
"150","7","WikiPathways","","Hepatitis B infection","1.0E-4","FOS|STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6349|6325|6457|6421|6469|6417|6441","6.65E-7","","WP4666","0.4","0"
"655","13","GO Biological Process","","Hemopoiesis","1.1E-4","LIF|HERC6|FLT1|JUNB|FOS|IFNA8|IFNA10|IFNA14|IFNA21|CEBPD|TIPARP|ZFP36|IFNA5","6293","6401|6413|6445|6365|6349|6457|6421|6469|6417|6501|6449|6337|6441","1.48E-7","","GO:0030097","0.3958607314841775","0"
"2019","22","GO Biological Process","","Cellular response to organic substance","1.1E-4","SERPINF1|FLT1|FOS|DDIT4|STAT2|TAC1|SOCS3|ANKRD1|IFIT1|ID1|IFNA8|IFNA10|IFNA14|IFNA21|HSPA2|MME|TIPARP|PTP4A3|ZFP36|IFI27|IFNA5|IFITM2","6293","6353|6445|6349|6357|6325|6329|6517|6489|6549|6553|6457|6421|6469|6417|6473|6409|6449|6381|6337|6481|6441|6493","1.45E-7","","GO:0071310","0.3958607314841775","0"
"192","7","KEGG Pathways","","Epstein-Barr virus infection","1.1E-4","GADD45B|STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6505|6325|6457|6421|6469|6417|6441","3.24E-6","","hsa05169","0.3958607314841775","0"
"69","5","KEGG Pathways","","RIG-I-like receptor signaling pathway","1.2E-4","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","3.81E-6","","hsa04622","0.39208187539523753","0"
"80","6","Reactome Pathways","","DDX58/IFIH1-mediated induction of interferon-alpha/beta","1.2E-4","HERC5|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6529|6457|6421|6469|6417|6441","3.17E-7","","HSA-168928","0.39208187539523753","0"
"203","7","KEGG Pathways","","Human immunodeficiency virus 1 infection","1.3E-4","BST2|FOS|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6405|6349|6457|6421|6469|6417|6441","4.63E-6","","hsa05170","0.3886056647693163","0"
"17","4","STRING Clusters","","Mixed, incl. 2-5-oligoadenylate synthetase activity, and Interferon-induced 6-16 family","1.5E-4","HERC6|IFI6|IFIT1|IFI27","6293","6413|6565|6549|6481","5.39E-7","","CL:17012","0.38239087409443184","0"
"56","6","InterPro Domains","","Four-helical cytokine-like, core","1.6E-4","LIF|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6401|6457|6421|6469|6417|6441","4.4E-8","","IPR009079","0.3795880017344075","0"
"1979","21","Reactome Pathways","","Immune System","1.6E-4","LIF|BST2|HERC6|HERC5|S100A11|JUNB|FOS|STAT2|SOCS3|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|CEBPD|MME|IFI27|IFNA5|IFITM2|ALPK1","6293","6401|6405|6413|6529|6477|6365|6349|6325|6517|6565|6549|6457|6421|6469|6417|6501|6409|6481|6441|6493|6521","4.81E-7","","HSA-168256","0.3795880017344075","0"
"102","6","WikiPathways","","Toll-like receptor signaling pathway","1.6E-4","FOS|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6349|6457|6421|6469|6417|6441","1.22E-6","","WP75","0.3795880017344075","0"
