"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"642","17","Monarch Phenotype","","Cataract","0.014","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|PDE6G|PCARE|LRAT|ETFB|AIPL1|CBS|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9415|9287|9195|9271|9315|9439|9379|9471|9235|9175|9083|9299","8.7E-5","","HP:0000518","0.21812976716972846","0"
"645","17","Monarch Phenotype","","Hyperreflexia","0.0146","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|MT-ND3|DYNC1I2|PDE6B|PROM1|PRCD|ABCC8|SNCA","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9391|9123|9175|9083|9299|9311|9035","9.19E-5","","HP:0001347","0.21598540345800374","0"
"463","14","Monarch Phenotype","","Wide nasal bridge","0.0154","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|DVL1|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9047|9175|9083|9299","9.88E-5","","HP:0000431","0.21325943256741584","0"
"995","22","Monarch Phenotype","","Visual impairment","0.0165","IMPG2|TULP1|GUCA1B|PRPH2|TTR|CNGB1|GUCY2D|PDE6A|C12orf4|RPE65|TYR|PDE6G|PCARE|LRAT|MT-ND3|AIPL1|CBS|PDE6B|PROM1|PRCD|CYP2D6|ENPP1","8815","9071|9223|9211|9259|9007|9243|9415|9287|9103|9195|9491|9271|9315|9439|9391|9471|9235|9175|9083|9299|9003|9275","1.1E-4","","HP:0000505","0.20973390811655798","0"
"1143","24","Monarch Phenotype","","Abnormal fundus morphology","0.0169","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|TYR|GAS8|PDE6G|PCARE|LRAT|MT-ND3|AIPL1|CBS|PDE6B|PROM1|IL11RA|PRCD|SALL2|ABCC8|CYP2D6|ENPP1","8815","9071|9223|9211|9259|9243|9415|9287|9195|9491|9051|9271|9315|9439|9391|9471|9235|9175|9083|9011|9299|9155|9311|9003|9275","1.1E-4","","HP:0001098","0.2085099014172853","0"
"5","3","STRING Clusters","","Activation of the phototransduction cascade","0.0172","PDE6A|PDE6G|PDE6B","8815","9287|9271|9175","3.76E-5","","CL:24499","0.2076107608620507","0"
"659","17","Monarch Phenotype","","Abnormality of reproductive system physiology","0.0178","IMPG2|TULP1|GUCA1B|PRPH2|TTR|CNGB1|PDE6A|PKD1|RPE65|GAS8|PDE6G|PCARE|LRAT|NBEAL2|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9007|9243|9287|9127|9195|9051|9271|9315|9439|8871|9175|9083|9299","1.2E-4","","HP:0000080","0.20585859481444616","0"
"68","6","STRING Clusters","","Cadherin, N-terminal, and Domain of unknown function (DUF4596)","0.0196","PCDHB2|PCDHGC4|PCDHGA10|PCDHGA6|PCDHGA7|PCDHGA4","8815","9399|9171|8847|8951|8971|8859","5.14E-5","","CL:39007","0.20093609090032907","0"
"19","4","STRING Clusters","","Cadherin, C-terminal catenin-binding domain","0.0196","PCDHGA10|PCDHGA6|PCDHGA7|PCDHGA4","8815","8847|8951|8971|8859","4.72E-5","","CL:39102","0.20093609090032907","0"
"9","3","Monarch Phenotype","","Optic disc drusen","0.0209","RPE65|LRAT|ENPP1","8815","9195|9439|9275","1.4E-4","","HP:0012426","0.19765448021317708","0"
